#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:36:19      0     24     40      -     34     10      0      0      0      0    405    360 
 20240215   17:36:20      0     25     40      -     36     11      0      0      0      0    405    360 
 20240215   17:36:21      0     24     40      -     38     11      0      0      0      0    405    360 
 20240215   17:36:22      0     25     40      -     38     11      0      0      0      0    405    345 
 20240215   17:36:23      0     25     40      -     39     11      0      0      0      0    405    345 
 20240215   17:36:24      0     24     40      -     39     11      0      0      0      0    405    345 
 20240215   17:36:25      0     24     40      -     41     12      0      0      0      0    405    375 
 20240215   17:36:26      0     24     40      -     37     11      0      0      0      0    405    375 
 20240215   17:36:27      0     24     40      -     37     11      0      0      0      0    405    375 
 20240215   17:36:28      0     24     40      -     35     11      0      0      0      0    405    360 
 20240215   17:36:29      0     24     40      -     39     11      0      0      0      0    405    345 
 20240215   17:36:30      0     25     40      -     33     10      0      0      0      0    405    345 
 20240215   17:36:31      0     24     40      -     39     11      0      0      0      0    405    330 
 20240215   17:36:32      0     25     40      -     41     11      0      0      0      0    405    345 
 20240215   17:36:33      0     24     40      -     34     10      0      0      0      0    405    345 
 20240215   17:36:34      0     24     40      -     36     11      0      0      0      0    405    345 
 20240215   17:36:35      0     25     40      -     35     11      0      0      0      0    405    360 
 20240215   17:36:36      0     24     40      -     34     10      0      0      0      0    405    345 
 20240215   17:36:37      0     24     40      -     33     10      0      0      0      0    405    360 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:36:38      0     24     40      -     38     13      0      0      0      0    405    360 
 20240215   17:36:39      0     24     40      -     41     11      0      0      0      0    405    360 
 20240215   17:36:40      0     24     40      -     32     11      0      0      0      0    405    360 
 20240215   17:36:41      0     24     40      -     33     12      0      0      0      0    405    330 
 20240215   17:36:42      0     25     40      -     36     11      0      0      0      0    405    315 
 20240215   17:36:43      0     24     40      -     34     10      0      0      0      0    405    315 
 20240215   17:36:44      0     25     40      -     39     11      0      0      0      0    405    315 
 20240215   17:36:45      0     24     40      -     37     11      0      0      0      0    405    315 
 20240215   17:36:46      0     25     40      -     37     11      0      0      0      0    405    315 
 20240215   17:36:47      0     25     40      -     38     11      0      0      0      0    405    330 
 20240215   17:36:48      0     25     40      -     37     11      0      0      0      0    405    330 
 20240215   17:36:49      0     24     40      -     37     11      0      0      0      0    405    315 
 20240215   17:36:50      0     24     40      -     36     10      0      0      0      0    405    300 
 20240215   17:36:51      0     24     40      -     39     11      0      0      0      0    405    300 
 20240215   17:36:52      0     25     40      -     37     11      0      0      0      0    405    330 
 20240215   17:36:53      0     26     40      -     37     12      0      0      0      0    405    420 
 20240215   17:36:54      0     24     40      -     35     15      0      0      0      0    405    420 
 20240215   17:36:55      0     24     40      -     34     11      0      0      0      0    405    405 
 20240215   17:36:56      0     24     40      -     34     11      0      0      0      0    405    375 
 20240215   17:36:57      0     25     40      -     35     14      0      0      0      0    405    360 
 20240215   17:36:58      0     24     40      -     38     12      0      0      0      0    405    345 
 20240215   17:36:59      0     24     40      -     39     11      0      0      0      0    405    345 
 20240215   17:37:00      0     25     40      -     38     12      0      0      0      0    405    345 
 20240215   17:37:01      0     24     40      -     37     12      0      0      0      0    405    345 
 20240215   17:37:02      0     26     40      -     35     13      0      0      0      0    405    390 
 20240215   17:37:03      0     27     40      -     31      7      0      0      0      0    810    435 
 20240215   17:37:04      0     28     40      -     28      7      0      0      0      0    810    435 
 20240215   17:37:05      0     26     40      -     36     12      0      0      0      0    405    375 
 20240215   17:37:06      0     25     40      -     43     13      0      0      0      0    405    390 
 20240215   17:37:07      0     24     40      -     33     10      0      0      0      0    405    390 
 20240215   17:37:08      0     25     40      -     35     11      0      0      0      0    405    375 
 20240215   17:37:09      0     25     40      -     36     11      0      0      0      0    405    360 
 20240215   17:37:10      0     25     40      -     37     11      0      0      0      0    405    345 
 20240215   17:37:11      0     25     40      -     37     11      0      0      0      0    405    345 
 20240215   17:37:12      0     24     40      -     32     10      0      0      0      0    405    345 
 20240215   17:37:13      0     25     40      -     34     10      0      0      0      0    405    330 
